code,laboratoire,nom,dci,dosage,unite_dosage,forme,presentation,ppv,ph,ppv_br,princeps_generique,classe_therapeutique,taux_remboursement_cnss
6118010130373,GALENICA,RANITIL,RANITIDINE,300,MG,COMPRIME,1 BOITE 10 COMPRIME,69.20,43.20,69.20,C,ANTIHISTAMINIQUE H2,0
6118001300426,SUN PHARMACEUTICALS MOROCCO LLC,RANOZYP 10 MG,OLANZAPINE,10,MG,COMPRIME ORODISPERSIBLE,1 BOITE 28 COMPRIME ORODISPERSIBLE,254.00,158.90,254.00,A,NEUROLEPTIQUE,70
6118001300419,SUN PHARMACEUTICALS MOROCCO LLC,RANOZYP 10 MG,OLANZAPINE,10,MG,COMPRIME ORODISPERSIBLE,1 BOITE 14 COMPRIME ORODISPERSIBLE,131.50,82.20,131.50,A,NEUROLEPTIQUE,70
6118001300402,SUN PHARMACEUTICALS MOROCCO LLC,RANOZYP 5 MG,OLANZAPINE,5,MG,COMPRIME ORODISPERSIBLE,1 BOITE 28 COMPRIME ORODISPERSIBLE,146.00,91.20,146.00,A,NEUROLEPTIQUE,70
6118001300396,SUN PHARMACEUTICALS MOROCCO LLC,RANOZYP 5 MG,OLANZAPINE,5,MG,COMPRIME ORODISPERSIBLE,1 BOITE 14 COMPRIME ORODISPERSIBLE,75.60,47.20,75.60,A,NEUROLEPTIQUE,70
6118001300501,SUN PHARMACEUTICALS MOROCCO LLC,RANPIROLE,ROPINIROLE,1,MG,COMPRIME PELLICULE,1 BOITE 21 COMPRIME PELLICULE,62.40,39.00,62.40,A,ANTIPARKINSONIEN,70
6118001300464,SUN PHARMACEUTICALS MOROCCO LLC,RANPIROLE,ROPINIROLE,0.25,MG,COMPRIME PELLICULE,1 BOITE 21 COMPRIME PELLICULE,31.10,19.50,31.10,A,ANTIPARKINSONIEN,70
6118001300518,SUN PHARMACEUTICALS MOROCCO LLC,RANPIROLE,ROPINIROLE,1,MG,COMPRIME PELLICULE,1 BOITE 84 COMPRIME PELLICULE,212.00,132.60,212.00,A,ANTIPARKINSONIEN,70
6118001300471,SUN PHARMACEUTICALS MOROCCO LLC,RANPIROLE,ROPINIROLE,0.25,MG,COMPRIME PELLICULE,1 BOITE 126 COMPRIME PELLICULE,157.00,98.10,157.00,A,ANTIPARKINSONIEN,70
6118001300488,SUN PHARMACEUTICALS MOROCCO LLC,RANPIROLE,ROPINIROLE,0.5,MG,COMPRIME PELLICULE,1 BOITE 21 COMPRIME PELLICULE,37.00,23.10,37.00,A,ANTIPARKINSONIEN,70
6118001300495,SUN PHARMACEUTICALS MOROCCO LLC,RANPIROLE,ROPINIROLE,0.5,MG,COMPRIME PELLICULE,1 BOITE 84 COMPRIME PELLICULE,125.90,78.70,125.90,A,ANTIPARKINSONIEN,70
6118000380153,SUN PHARMACEUTICALS MOROCCO LLC,RANSIMVA 20 MG,SIMVASTATINE,20,MG,COMPRIME PELLICULE,1 BOITE 60 COMPRIME PELLICULE,182.10,113.80,182.10,A,HYPOLIPEMIANT,70
6118000380146,SUN PHARMACEUTICALS MOROCCO LLC,RANSIMVA 20 MG,SIMVASTATINE,20,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME PELLICULE,94.30,58.90,94.30,A,HYPOLIPEMIANT,70
6118000380160,SUN PHARMACEUTICALS MOROCCO LLC,RANSIMVA 40 MG,SIMVASTATINE,40,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME PELLICULE,171.00,106.90,171.00,A,HYPOLIPEMIANT,70
