nom,dosage,forme,substance_active,classe_therapeutique,epi_laboratoire,statut_commercialisation,statut_amm,presentation,pp_gn,ppv,ph,pfht,tva,lien_rcp_naf,source_page
SULIAT HCT,160   MG  /  5   MG  /  25   MG,COMPRIME PELLICULE,AMLODIPINE // VALSARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,AFRIC PHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 56,GN,"306,00 DH","204,00 DH","194,30 DH",0%,-,416
SULIAT HCT,"160   MG  /  10   MG  /  12,5   MG",COMPRIME PELLICULE,AMLODIPINE // VALSARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,AFRIC PHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 14,GN,"105,20 DH","65,80 DH","62,65 DH",0%,-,416
SULIAT HCT,"160   MG  /  10   MG  /  12,5   MG",COMPRIME PELLICULE,AMLODIPINE // VALSARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,AFRIC PHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 28,GN,"185,20 DH","115,80 DH","110,26 DH",0%,-,416
SULIAT HCT,"160   MG  /  10   MG  /  12,5   MG",COMPRIME PELLICULE,AMLODIPINE // VALSARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,AFRIC PHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 56,GN,"306,00 DH","204,00 DH","194,30 DH",0%,-,417
SULIAT HCT,160   MG  /  10   MG  /  25   MG,COMPRIME PELLICULE,AMLODIPINE // VALSARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,AFRIC PHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 14,GN,"105,20 DH","65,80 DH","62,65 DH",0%,-,417
SULIAT HCT,160   MG  /  10   MG  /  25   MG,COMPRIME PELLICULE,AMLODIPINE // VALSARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,AFRIC PHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 28,GN,"185,20 DH","115,80 DH","110,26 DH",0%,-,417
SULIAT HCT,160   MG  /  10   MG  /  25   MG,COMPRIME PELLICULE,AMLODIPINE // VALSARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,AFRIC PHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 56,GN,"306,00 DH","204,00 DH","194,30 DH",0%,-,417
SULIQUA,100 UNITES /  ML + 33 µg  /   ML,SOLUTION INJECTABLE EN STYLO PRE-REMPLI DE 3 ML,INSULINE GLARGINE // LIXISENATIDE,ENDOCRINOLOGIE-METABOLISME,SANOFI AVENTIS,Non Commercialisé,AMM ENREGISTREE,BOITE DE 3 STYLOS PRE-REMPLIS,PP,1.200.00 DH,"926,00 DH","882,36 DH",0%,-,417
SULIQUA,100 UNITES /  ML +50 µG  /   ML,SOLUTION INJECTABLE EN STYLO PRE-REMPLI DE 3 ML,INSULINE GLARGINE // LIXISENATIDE,ENDOCRINOLOGIE-METABOLISME,SANOFI AVENTIS,Commercialisé,AMM ENREGISTREE,BOITE DE 3 STYLOS PRE-REMPLIS,PP,1.200.00 DH,"926,00 DH","882,36 DH",0%,-,417
SULPIAN,200   MG,GELULE,SULPIRIDE,PSYCHIATRIE,SYNTHEMEDIC,Commercialisé,AMM ENREGISTREE,BOITE DE 20,GN,"81,00 DH","50,60 DH","48,23 DH",0%,-,417
SULPIDAL,50   MG,GELULE,SULPIRIDE,PSYCHIATRIE,SYNTHEMEDIC,Commercialisé,AMM ENREGISTREE,BOITE DE 20,GN,"26,40 DH","16,50 DH","15,71 DH",0%,-,417
SULRID,50   MG,COMPRIME,SULPIRIDE,PSYCHIATRIE,GENPHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 20,GN,"24,30 DH","15,20 DH","14,46 DH",0%,-,417
SUNITINIB GT,"12,5 MG",GELULE,SUNITINIB (MALATE),CANCEROLOGIE,ATLAS PHARM,AMM sans prix,AMM ENREGISTREE,BOITE DE 28,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,417
SUNITINIB GT,25 MG,GELULE,SUNITINIB (MALATE),CANCEROLOGIE,ATLAS PHARM,AMM sans prix,AMM ENREGISTREE,BOITE DE 28,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,417
SUNITINIB GT,50 MG,GELULE,SUNITINIB (MALATE),CANCEROLOGIE,ATLAS PHARM,AMM sans prix,AMM ENREGISTREE,BOITE DE 28,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,417
SUPPOSEDAL ADULTE,40  /  40  /  20   MG,SUPPOSITOIRE,ESSENCE DE NIAOULI // EXTRAIT HYDROALCOOLIQUE MOU DE GRINDELIA // EXTRAIT HYDROALCOOLIQUE MOU DE GELSEMIUM,PNEUMOLOGIE-ALLERGOLOGIE,PHARMA 5,Commercialisé AO,AMM ENREGISTREE,BOITE DE 12,GN,"12,10 DH","7,60 DH","7,23 DH",0%,-,417
SUPPOSEDAL ENFANT,20  /  20  /  10   MG,SUPPOSITOIRE,ESSENCE DE NIAOULI // EXTRAIT HYDROALCOOLIQUE MOU DE GRINDELIA // EXTRAIT HYDROALCOOLIQUE MOU DE GELSEMIUM,PNEUMOLOGIE-ALLERGOLOGIE,PHARMA 5,Commercialisé AO / Export,AMM ENREGISTREE,BOITE DE 12,GN,"11,20 DH","7,00 DH","6,68 DH",0%,-,417
SUPPOSEDAL NOURRISSON,10  /  10  /  5   MG,SUPPOSITOIRE,ESSENCE DE NIAOULI // EXTRAIT HYDROALCOOLIQUE MOU DE GRINDELIA // EXTRAIT HYDROALCOOLIQUE MOU DE GELSEMIUM,PNEUMOLOGIE-ALLERGOLOGIE,PHARMA 5,AMM sans prix,AMM ENREGISTREE,BOITE DE 12,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,417
SUPPOSEDAL PARACETAMOL ADULTE,500   MG,SUPPOSITOIRE,PARACETAMOL // GRINDELIA // GELSEMIUM,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,PHARMA 5,Commercialisé,AMM ENREGISTREE,BOITE DE 12,GN,"22,40 DH","14,00 DH","13,35 DH",0%,-,417
SUPPOSEDAL PARACETAMOL ENFANT,250   MG,SUPPOSITOIRE,PARACETAMOL // GRINDELIA // GELSEMIUM,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,PHARMA 5,Commercialisé,AMM ENREGISTREE,BOITE DE 12,GN,"18,70 DH","11,70 DH","11,13 DH",0%,-,417
