nom,dosage,forme,substance_active,classe_therapeutique,epi_laboratoire,statut_commercialisation,statut_amm,presentation,pp_gn,ppv,ph,pfht,tva,lien_rcp_naf,source_page
SYNFLORIX,-,SUSPENSION INJECTABLE EN SERINGUE PRE-REMPLI,VACCIN ( PNEUMOCOCCIQUE OSIDIQUE CONJUGUE 10-VALENT ),VACCINS,GSK,Commercialisé,AMM ENREGISTREE,"BOITE DE 1 SERINGUE DE 0,5 ML",VACCIN,"496,00 DH","329,00 DH","314,12 DH",0%,-,419
SYNFLORIX,-,SUSPENSION INJECTABLE EN SERINGUE PRE-REMPLI,VACCIN ( PNEUMOCOCCIQUE OSIDIQUE CONJUGUE 10-VALENT ),VACCINS,GSK,Non Commercialisé,AMM ENREGISTREE,"BOITE DE 10 SERINGUES DE 0,5 ML",VACCIN,2.759.00 DH,2.428.00 DH,2.313.07 DH,0%,-,419
SYNFLORIX,-,VACCIN SUSPENSION INJECTABLE EN FLACON,VACCIN ( PNEUMOCOCCIQUE OSIDIQUE CONJUGUE 10-VALENT ),VACCINS,GSK,AMM sans prix,AMM ENREGISTREE,"BOITE DE 100 FLACONS DE 0,5 ML",VACCIN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,419
SYNFLORIX,-,VACCIN SUSPENSION INJECTABLE EN FLACON DE 2 DOSES,VACCIN ( PNEUMOCOCCIQUE OSIDIQUE CONJUGUE 10-VALENT ),VACCINS,GSK,AMM sans prix,AMM ENREGISTREE,BOITE DE 100 FLACON DE 1 ML,VACCIN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,419
SYNFLORIX,-,VACCIN SUSPENSION INJECTABLE EN RECIPIENT MULTI-DOSES 4 DOSES,VACCIN ( PNEUMOCOCCIQUE OSIDIQUE CONJUGUE 10-VALENT ),VACCINS,GSK,AMM sans prix,AMM ENREGISTREE,BOITE DE 10 RECIPIENTS,VACCIN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,420
SYNFLORIX,-,VACCIN SUSPENSION INJECTABLE EN RECIPIENT MULTI-DOSES 4 DOSES,VACCIN ( PNEUMOCOCCIQUE OSIDIQUE CONJUGUE 10-VALENT ),VACCINS,GSK,AMM sans prix,AMM ENREGISTREE,BOITE DE 100 RECIPIENTS,VACCIN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,420
SYNJARDY,5 MG / 1000 MG,COMPRIMES PELLICULES,EMPAGLIFLOZINE // METFORMINE,ENDOCRINOLOGIE-METABOLISME,BOTTU,Non Commercialisé,AMM ENREGISTREE,BOITE DE 60,PP,"448,00 DH","298,00 DH","284,13 DH",0%,-,420
SYNJARDY,"12,5 MG / 1000 MG",COMPRIMES PELLICULES,EMPAGLIFLOZINE // METFORMINE,ENDOCRINOLOGIE-METABOLISME,BOTTU,Non Commercialisé,AMM ENREGISTREE,BOITE DE 60,PP,"448,00 DH","298,00 DH","284,13 DH",0%,-,420
SYNNAX,100   MG,COMPRIME,LAMOTRIGINE,PSYCHIATRIE,COOPER PHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"183,20 DH","114,50 DH","109,03 DH",0%,-,420
SYNNAX,100   MG,COMPRIME,LAMOTRIGINE,PSYCHIATRIE,COOPER PHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 60,GN,"303,00 DH","201,00 DH","191,89 DH",0%,-,420
