nom,dosage,forme,substance_active,classe_therapeutique,epi_laboratoire,statut_commercialisation,statut_amm,presentation,pp_gn,ppv,ph,pfht,tva,lien_rcp_naf,join_key
MAXICLAV,1 G / 125 MG,POUDRE POUR SUSPENSION BUVABLE,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE,STERIPHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 24 SACHETS,GN,143.1,89.4,85.17,0,,MAXICLAV|1G125MG|POUDREPOURSUSPENSIONBUVABLE
MAXICLAV,"500 MG / 62,5 MG",POUDRE POUR SUSPENSION BUVABLE,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE,STERIPHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 12 SACHETS,GN,54.2,33.9,32.27,0,,MAXICLAV|500MG62.5MG|POUDREPOURSUSPENSIONBUVABLE
MAXICLAV,"500 MG / 62,5 MG",POUDRE POUR SUSPENSION BUVABLE,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE,STERIPHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 24 SACHETS,GN,95.4,59.6,56.8,0,,MAXICLAV|500MG62.5MG|POUDREPOURSUSPENSIONBUVABLE
MAXICLAV,"500 MG / 62,5 MG",SACHET,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE,STERIPHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 16,GN,84.1,52.6,50.07,0,,MAXICLAV|500MG62.5MG|SACHET
MAXICLAV ENFANT,"100 MG / 12,5 MG / ML",POUDRE POUR SUSPENSION BUVABLE,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE,STERIPHARMA,Commercialisé,AMM ENREGISTREE,FLACON DE 60 ML + SERINGUE,GN,47.7,29.8,28.37,0,,MAXICLAVENFANT|100MG12.5MGML|POUDREPOURSUSPENSIONBUVABLE
MAXICLAV NOURRISSON,"100 MG / 12,5 MG / ML",POUDRE POUR SUSPENSION BUVABLE,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE,STERIPHARMA,Commercialisé,AMM ENREGISTREE,FLACON DE 30 ML + SERINGUE,GN,29.1,18.2,17.3,0,,MAXICLAVNOURRISSON|100MG12.5MGML|POUDREPOURSUSPENSIONBUVABLE
MAXIDROL,"0,10 G / 350000 UI / 600000 UI",POMMADE OPHTALMIQUE,DEXAMETHASONE // NEOMYCINE // POLYMYXINE B,OPHTALMOLOGIE,SOTHEMA,Commercialisé,AMM ENREGISTREE,"TUBE DE 3,5 G",PP,20.9,13.1,12.46,0,,MAXIDROL|0.10G350000UI600000UI|POMMADEOPHTALMIQUE
MAXIDROL,100 MG / 350000 UI / 600000 UI,COLLYRE,DEXAMETHASONE // NEOMYCINE // POLYMYXINE B,OPHTALMOLOGIE,SOTHEMA,Commercialisé,AMM ENREGISTREE,FLACON DE 5 ML,PP,28.1,17.6,16.74,0,,MAXIDROL|100MG350000UI600000UI|COLLYRE
MAXILASE,3000 UCEIP,COMPRIME ENROBE,ALPHA-AMYLASE,PNEUMOLOGIE-ALLERGOLOGIE,LAPROPHAN,Non Commercialisé,AMM ENREGISTREE,BOITE DE 24,PP,56.2,35.1,33.43,0,,MAXILASE|3000UCEIP|COMPRIMEENROBE
MAXILASE,200 UCEIP / ML,SIROP,ALPHA-AMYLASE,PNEUMOLOGIE-ALLERGOLOGIE,LAPROPHAN,Commercialisé,AMM ENREGISTREE,FLACON DE 125 ML,PP,41.1,25.7,24.48,0,,MAXILASE|200UCEIPML|SIROP
