nom,dci,dosage,forme,presentation,laboratoire,classe_therapeutique,type_produit,statut_commercialisation,statut_amm,ppv,ph,pfht,tva,code_cnops,prix_base_remboursement_cnops,taux_remboursement_cnops,source
OMEPRAL,OMEPRAZOLE,20 MG,GELULE,BOITE DE 14,PROMOPHARM,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,49.3,30.8,29.37,0.0,6118000240594,35.2,70.0,ammps+cnops
OMEPRAL,OMEPRAZOLE,20 MG,GELULE,BOITE DE 14,PROMOPHARM,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,49.3,30.8,29.37,0.0,6118000240587,92.8,70.0,ammps+cnops
OMEPRAL,OMEPRAZOLE,20 MG,GELULE,BOITE DE 14,PROMOPHARM,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,49.3,30.8,29.37,0.0,6118000240570,55.0,70.0,ammps+cnops
OMEPRAL,OMEPRAZOLE,20 MG,GELULE,BOITE DE 28,PROMOPHARM,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,86.7,54.2,51.62,0.0,6118000240594,35.2,70.0,ammps+cnops
OMEPRAL,OMEPRAZOLE,20 MG,GELULE,BOITE DE 28,PROMOPHARM,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,86.7,54.2,51.62,0.0,6118000240587,92.8,70.0,ammps+cnops
OMEPRAL,OMEPRAZOLE,20 MG,GELULE,BOITE DE 28,PROMOPHARM,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,86.7,54.2,51.62,0.0,6118000240570,55.0,70.0,ammps+cnops
OMEPRAL,OMEPRAZOLE,20 MG,GELULE,BOITE DE 7,PROMOPHARM,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,28.0,17.5,16.69,0.0,6118000240594,35.2,70.0,ammps+cnops
OMEPRAL,OMEPRAZOLE,20 MG,GELULE,BOITE DE 7,PROMOPHARM,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,28.0,17.5,16.69,0.0,6118000240587,92.8,70.0,ammps+cnops
OMEPRAL,OMEPRAZOLE,20 MG,GELULE,BOITE DE 7,PROMOPHARM,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,28.0,17.5,16.69,0.0,6118000240570,55.0,70.0,ammps+cnops
OMEPRAZOLE GT,OMEPRAZOLE,40 MG,POUDRE POUR SOLUTION INJECTABLE OU POUR PERFUSION,BOITE DE 5 FLACONS,ATLAS PHARM,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,258.0,161.8,154.09,0.0,,,,ammps
OMEPRAZOLE GT,OMEPRAZOLE,40 MG,POUDRE POUR SOLUTION POUR PERFUSION,BOITE DE 10 FLACONS,ATLAS PHARM,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,465.0,309.0,294.57,0.0,,,,ammps
OMEPRAZOLE NORMON,OMEPRAZOLE,40 MG,LYOPHILISAT POUR PERFUSION IV,BOITE DE 1 FLACON,IBERMA,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,44.8,28.0,26.7,0.0,,,,ammps
OMEPRAZOLE NORMON,OMEPRAZOLE,40 MG,LYOPHILISAT POUR PERFUSION IV,BOITE DE 50 FL,IBERMA,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé AO,AMM ENREGISTREE,1453.0,1186.0,1130.4,0.0,,,,ammps
OMEPRAZOLE SP,OMEPRAZOLE,40 MG,LYOPHILISAT POUR SOLUTION INJECTABLE EN FLACON DE 10 ML,BOITE DE 1,AMANYS PHARMA,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,82.1,51.3,48.9,0.0,,,,ammps
OMIZ,OMEPRAZOLE,10 MG,GELULE,BOITE DE 14,PHARMA 5,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,22.0,13.8,13.13,0.0,,,,ammps
OMIZ,OMEPRAZOLE,10 MG,GELULE,BOITE DE 28,PHARMA 5,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,42.1,26.3,25.09,0.0,,,,ammps
