nom,dci,dosage,forme,presentation,laboratoire,classe_therapeutique,type_produit,statut_commercialisation,statut_amm,ppv,ph,pfht,tva,code_cnops,prix_base_remboursement_cnops,taux_remboursement_cnops,source
18-FDG RIM,FLUDESOXYGLUCOSE (18F),250 MBQ / ML,SOLUTION INJECTABLE,FLACON MONO DOSE DE 15 ML,RIM PHARMA,DIAGNOSTIC-IMAGERIE,RX,Commercialisé,AMM ENREGISTREE,4303.0,4018.0,3827.33,0.0,,,,ammps
18F PSMA RIM,[18F] PSMA-1007,250 MBQ / ML,SOLUTION INJECTABLE,BOITE D'UN FLACON MONODOSE DE 15 ML,RIM PHARMA,DIAGNOSTIC-IMAGERIE,RX,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
18F PSMA RIM,[18F] PSMA-1007,250 MBQ / ML,SOLUTION INJECTABLE,BOITE D'UN FLACON MULTIDOSE DE 15 ML,RIM PHARMA,DIAGNOSTIC-IMAGERIE,RX,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
18F-PSMA CYCLOPHARMA,[18F] PSMA-1007,1300 MBQ / ML,"SOLUTION INJECTABLE, FLACON MULTIDOSE DE 10 ML DE SOLUTION MAXIMUM.","FLACON MULTIDOSE EN VERRE DE 15 ML , CONTIENT UN VOLUME COMPRIS ENTRE 0.5 ET 10 ML DE SOLUTION",CYCLOPHARMA,DIAGNOSTIC-IMAGERIE,RX,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
A-GRAM,AMOXICILLINE,250 MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,,,GENERIQUE,,,,,,,6118010000270,32.7,70.0,cnops
A-GRAM,AMOXICILLINE,500 MG,GELULE,1 BOITE 12 GELULE,,,GENERIQUE,,,,,,,6118010000263,56.85,70.0,cnops
A-GRAM,AMOXICILLINE,500 MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,,,GENERIQUE,,,,,,,6118010000287,47.6,70.0,cnops
A.V.T.,ACIDE ACETYLSALICYLIQUE // VITAMINE B1 (THIAMINE) // VITAMINE C (ACIDE ASCORBIQUE),"0,5 G / 0,002 G / 0,02 G",COMPRIME EFFERVESCENT,BOITE DE 10,LAPROPHAN,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,,Commercialisé AO,AMM ENREGISTREE,10.7,6.7,6.4,0.0,,,,ammps
A.V.T.,ACIDE ACETYLSALICYLIQUE // VITAMINE B1 (THIAMINE) // VITAMINE C (ACIDE ASCORBIQUE),"0,5 G / 0,002 G / 0,02 G",COMPRIME EFFERVESCENT,BOITE DE 20,LAPROPHAN,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,,Commercialisé,AMM ENREGISTREE,19.1,12.0,11.4,0.0,,,,ammps
ABACT,AMPICILLINE,1000 MG,POUDRE ET SOLVANT POUR PREPARATION INJECTABLE,BOITE DE 1 FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,PHARMED,INFECTIOLOGIE-PARASITOLOGIE,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
ABACT,AMPICILLINE,250 MG,POUDRE ET SOLVANT POUR PREPARATION INJECTABLE,BOITE DE 1 FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,PHARMED,INFECTIOLOGIE-PARASITOLOGIE,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
ABACT,AMPICILLINE,500 MG,POUDRE ET SOLVANT POUR PREPARATION INJECTABLE,BOITE DE 1 FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,PHARMED,INFECTIOLOGIE-PARASITOLOGIE,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
ABBOTICINE,ERYTHROMYCINE (ETHYLSUCCINATE),200 MG,GRANULE POUR SUSPENSION BUVABLE,BOITE DE 1 FLACON DE 60 ML,MAPHAR,INFECTIOLOGIE-PARASITOLOGIE,PP,Non Commercialisé,AMM ENREGISTREE,25.1,15.7,14.94,0.0,6118000010050,26.8,70.0,ammps+cnops
ABILIFY,ARIPIPRAZOLE,10 MG,COMPRIME,BOITE DE 28,MAPHAR,PSYCHIATRIE,PP,Non Commercialisé,AMM ENREGISTREE,1200.0,927.0,883.18,0.0,,,,ammps
ABILIFY,ARIPIPRAZOLE,15 MG,COMPRIME,BOITE DE 28,MAPHAR,PSYCHIATRIE,PP,Non Commercialisé,AMM ENREGISTREE,1200.0,927.0,883.18,0.0,,,,ammps
ABILIFY 10 MG,ARIPIPRAZOLE,10 MG,COMPRIME,1 BOITE 28 COMPRIME,,,PRINCEPS,,,,,,,6118001183203,1500.0,0.0,cnops
ABILIFY 15 MG,ARIPIPRAZOLE,15 MG,COMPRIME,1 BOITE 28 COMPRIME,,,PRINCEPS,,,,,,,6118001183210,1500.0,0.0,cnops
ABIP,ARIPIPRAZOLE,15 MG,COMPRIMES PELLICULES,BOITE DE 20 COMPRIMES PELLICULES,SUN PHARMACEUTICALS NORTH AFRICA,PSYCHIATRIE,GN,Non Commercialisé,AMM ENREGISTREE,268.0,168.0,160.0,0.0,,,,ammps
ABIP,ARIPIPRAZOLE,15 MG,COMPRIMES PELLICULES,BOITE DE 30 COMPRIMES PELLICULES,SUN PHARMACEUTICALS NORTH AFRICA,PSYCHIATRIE,GN,Commercialisé,AMM ENREGISTREE,372.0,247.0,236.0,0.0,,,,ammps
ABIRANAT,ABIRATERONE (ACETATE),250 MG,COMPRIME,BOITE D’UN FLACON DE 120 COMPRIMES.,AMANYS PHARMA,CANCEROLOGIE,GN,Commercialisé,AMM ENREGISTREE,10411.0,10215.0,9815.0,0.0,,,,ammps
ABIRATERONE GT,ABIRATERONE (ACETATE),250 MG,COMPRIME,BOITE DE 1 FLACON DE 120,ATLAS PHARM,CANCEROLOGIE,GN,Commercialisé,AMM ENREGISTREE,10411.0,10215.0,9815.0,0.0,,,,ammps
ABSTRAL,FENTANYL,100 ΜG,COMPRIME SUBLINGUAL,BOITE DE 10,SOTHEMA,ANESTHESIE-REANIMATION,PP,Commercialisé,AMM ENREGISTREE,876.0,582.0,554.62,0.0,,,,ammps
ABSTRAL,FENTANYL,200 ΜG,COMPRIME SUBLINGUAL,BOITE DE 10,SOTHEMA,ANESTHESIE-REANIMATION,PP,Commercialisé,AMM ENREGISTREE,876.0,582.0,554.62,0.0,,,,ammps
ABSTRAL,FENTANYL,400 ΜG,COMPRIME SUBLINGUAL,BOITE DE 10,SOTHEMA,ANESTHESIE-REANIMATION,PP,Non Commercialisé,AMM ENREGISTREE,876.0,582.0,554.62,0.0,,,,ammps
ACARBOSE LAPROPHAN,ACARBOSE,100 MG,COMPRIME,BOITE DE 30,LAPROPHAN,ENDOCRINOLOGIE-METABOLISME,GN,Non Commercialisé,AMM ENREGISTREE,64.4,40.2,38.33,0.0,,,,ammps
ACARBOSE LAPROPHAN,ACARBOSE,100 MG,COMPRIME,BOITE DE 90,LAPROPHAN,ENDOCRINOLOGIE-METABOLISME,GN,Non Commercialisé,AMM ENREGISTREE,166.1,103.8,98.89,0.0,,,,ammps
ACARBOSE LAPROPHAN,ACARBOSE,50 MG,COMPRIME,BOITE DE 30,LAPROPHAN,ENDOCRINOLOGIE-METABOLISME,GN,Non Commercialisé,AMM ENREGISTREE,42.2,26.4,25.15,0.0,,,,ammps
ACARBOSE LAPROPHAN,ACARBOSE,50 MG,COMPRIME,BOITE DE 90,LAPROPHAN,ENDOCRINOLOGIE-METABOLISME,GN,Non Commercialisé,AMM ENREGISTREE,109.0,68.1,64.88,0.0,,,,ammps
ACARD,LOSARTAN (POTASSIQUE),50 MG,COMPRIME PELLICULE,BOITE DE 14,MC PHARMA,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,40.0,25.0,23.79,0.0,,,,ammps
ACARD,LOSARTAN (POTASSIQUE),50 MG,COMPRIME PELLICULE,BOITE DE 28,MC PHARMA,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,77.2,48.2,45.96,0.0,,,,ammps
ACCUPRIL,QUINAPRIL,20 MG,COMPRIME,BOITE DE 28,PFIZER,,PP,Retiré du Marché,AMM RETIREE,70.1,43.8,41.72,0.0,,,,ammps
ACCUPRIL,QUINAPRIL,20 MG,COMPRIME ENROBE SECABLE,1 BOITE 28 COMPRIME ENROBE,,,PRINCEPS,,,,,,,6118001170388,103.5,70.0,cnops
ACCUPRIL,QUINAPRIL,5 MG,COMPRIME,BOITE DE 28,PFIZER,,PP,Retiré du Marché,AMM RETIREE,37.5,23.4,22.31,0.0,,,,ammps
ACCUPRIL,QUINAPRIL,5 MG,COMPRIME ENROBE SECABLE,1 BOITE 28 COMPRIME ENROBE,,,PRINCEPS,,,,,,,6118001170371,41.7,70.0,cnops
ACCURECIL,FLUOROURACILE,250 MG,SOLUTION POUR INJECTION / PERFUSION IV,BOITE D'UN FLACON DE 5 ML,ZENITH PHARMA,CANCEROLOGIE,GN,Commercialisé,AMM ENREGISTREE,27.0,16.9,16.1,0.0,,,,ammps
ACCURECIL,FLUOROURACILE,500 MG,SOLUTION POUR INJECTION / PERFUSION IV,BOITE D'UN FLACON DE 10 ML,ZENITH PHARMA,CANCEROLOGIE,GN,Commercialisé,AMM ENREGISTREE,45.9,28.7,27.3,0.0,,,,ammps
ACEPRIL,PERINDOPRIL (TERT-BUTYLAMINE),2 MG,COMPRIME,BOITE DE 28,GENPHARMA,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,44.0,27.5,26.19,0.0,6118010118098,44.0,70.0,ammps+cnops
ACEPRIL,PERINDOPRIL (TERT-BUTYLAMINE),2 MG,COMPRIME,BOITE DE 28,GENPHARMA,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,44.0,27.5,26.19,0.0,6118000130789,44.0,70.0,ammps+cnops
ACEPRIL,PERINDOPRIL (TERT-BUTYLAMINE),4 MG,COMPRIME,BOITE DE 28,GENPHARMA,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,85.9,53.7,51.11,0.0,6118010118104,98.0,70.0,ammps+cnops
ACEPRIL,PERINDOPRIL (TERT-BUTYLAMINE),4 MG,COMPRIME,BOITE DE 28,GENPHARMA,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,85.9,53.7,51.11,0.0,6118000130796,98.0,70.0,ammps+cnops
ACEPRIL,PERINDOPRIL (TERT-BUTYLAMINE),8 MG,COMPRIME,BOITE DE 28,GENPHARMA,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,133.1,83.2,79.26,0.0,6118010118111,196.0,70.0,ammps+cnops
ACEPRIL,PERINDOPRIL (TERT-BUTYLAMINE),8 MG,COMPRIME,BOITE DE 28,GENPHARMA,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,133.1,83.2,79.26,0.0,6118000130802,196.0,70.0,ammps+cnops
ACEPRIL PLUS,PERINDOPRIL / INDAPAMIDE,4 / 1.25 MG / MG,COMPRIME,1 BOITE 28 COMPRIME,,,GENERIQUE,,,,,,,6118010118128,118.0,70.0,cnops
ACEPRIL PLUS,PERINDOPRIL / INDAPAMIDE,4 / 1.25 MG / MG,COMPRIME,1 BOITE 28 COMPRIME,,,GENERIQUE,,,,,,,6118000130819,118.0,70.0,cnops
ACEPRIL PLUS,PERINDOPRIL (TERT-BUTYLAMINE) // INDAPAMIDE,"4 MG / 1,25 MG",COMPRIME,BOITE DE 28,GENPHARMA,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,118.0,73.7,70.24,0.0,,,,ammps
ACETATE,CHLORURE DE SODIUM // CHLORHEXIDINE DIGLUCONATE // CHLORURE DE MAGNESIUM HEXAHYDRATE // CHLORURE DE POTASSIUM // ACETATE DE SODIUM 3H2O,-,CONCENTRE LIQUIDE D'HEMODIALYSE,BIDON DE 10 L,SOLUDIA MAGHREB,UROLOGIE-NEPHROLOGIE,,Non Commercialisé,AMM ENREGISTREE,172.8,108.0,102.86,0.0,,,,ammps
ACETATE EM 138,CONCENTRE POUR HEMODIALYSE,,SOLUTE CONCENTRE,1 BIDON 5 L,,,GENERIQUE,,,,,,,6118000270089,79.4,70.0,cnops
ACETATE EM 142,CONCENTRE POUR HEMODIALYSE,,SOLUTE CONCENTRE,1 BIDON 5 L,,,GENERIQUE,,,,,,,6118000270072,83.2,70.0,cnops
ACETATE SLF 437,CONCENTRE POUR HEMODIALYSE,,SOLUTE CONCENTRE,1 BIDON 10 L,,,PRINCEPS,,,,,,,6118000260172,161.4,70.0,cnops
ACETATE SLF 86,CONCENTRE POUR HEMODIALYSE,,SOLUTE CONCENTRE,1 BIDON 10 L,,,PRINCEPS,,,,,,,6118000260202,161.4,70.0,cnops
ACETATE SLF117,CONCENTRE POUR HEMODIALYSE,,SOLUTE CONCENTRE,1 BIDON 10 L,,,PRINCEPS,,,,,,,6118000260189,161.4,70.0,cnops
ACETATE SLF153,CONCENTRE POUR HEMODIALYSE,,SOLUTE CONCENTRE,1 BIDON 10 L,,,PRINCEPS,,,,,,,6118000260196,161.4,70.0,cnops
ACETHIO,PARACETAMOL // THIOCOLCHICOSIDE,500 MG / 2 MG,COMPRIME,BOITE DE 20,SYNTHEMEDIC,RHUMATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,34.6,21.6,20.58,0.0,,,,ammps
ACFOL,VITAMINE B9 (ACIDE FOLIQUE),5 MG,COMPRIME,BOITE DE 28,VERSALYA,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,24.5,15.3,14.6,0.0,,,,ammps
ACICLOVIR ARWA MEDIC,ACICLOVIR,250 MG,"POUDRE POUR SOLUTION POUR PERFUSION IV, EN FLACON DE 10ML",BOITE DE 5 FLACONS DE 10 ML.,ARWA MEDIC,INFECTIOLOGIE-PARASITOLOGIE,GN,Commercialisé,AMM ENREGISTREE,586.0,389.0,371.0,0.0,,,,ammps
ACICLOVIR ISIO,ACICLOVIR,250 MG,POUDRE POUR SOLUTION INJECTABLE,BOITES DE 1 FLACON,ISIO LABORATOIRES,INFECTIOLOGIE-PARASITOLOGIE,GN,Commercialisé,AMM ENREGISTREE,104.1,65.1,61.97,0.0,,,,ammps
ACICLOVIR ISIO,ACICLOVIR,250 MG,POUDRE POUR SOLUTION INJECTABLE,BOITES DE 5 FLACONS,ISIO LABORATOIRES,INFECTIOLOGIE-PARASITOLOGIE,GN,Commercialisé,AMM ENREGISTREE,450.0,299.0,285.06,0.0,,,,ammps
ACICLOVIR ISIO,ACICLOVIR,250 MG,POUDRE POUR SOLUTION INJECTABLE,BOITES DE 10 FLACONS,ISIO LABORATOIRES,INFECTIOLOGIE-PARASITOLOGIE,GN,Commercialisé,AMM ENREGISTREE,783.0,520.0,495.76,0.0,,,,ammps
ACICLOVIR ISIO,ACICLOVIR,500 MG,POUDRE POUR SOLUTION INJECTABLE,BOITES DE 1 FLACON,ISIO LABORATOIRES,INFECTIOLOGIE-PARASITOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,172.0,107.5,102.38,0.0,,,,ammps
ACICLOVIR ISIO,ACICLOVIR,500 MG,POUDRE POUR SOLUTION INJECTABLE,BOITES DE 5 FLACONS,ISIO LABORATOIRES,INFECTIOLOGIE-PARASITOLOGIE,GN,Commercialisé AO,AMM ENREGISTREE,673.0,447.0,426.58,0.0,,,,ammps
ACICLOVIR ISIO,ACICLOVIR,500 MG,POUDRE POUR SOLUTION INJECTABLE,BOITES DE 10 FLACONS,ISIO LABORATOIRES,INFECTIOLOGIE-PARASITOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,1039.0,761.0,725.19,0.0,,,,ammps
ACICLOVIR VIATRIS,ACICLOVIR,250 MG,POUDRE POUR SOLUTION INJECTABLE (IV),BOITE DE 5 FLACONS DE 10 ML,VIATRIS PHARMACEUTICALS,INFECTIOLOGIE-PARASITOLOGIE,GN,Commercialisé,AMM ENREGISTREE,628.0,417.0,397.61,0.0,,,,ammps
ACICLOVIR VIATRIS,ACICLOVIR,500 MG,POUDRE POUR SOLUTION INJECTABLE (IV),BOITE DE 5 FLACONS DE 20 ML,VIATRIS PHARMACEUTICALS,INFECTIOLOGIE-PARASITOLOGIE,GN,Commercialisé AO,AMM ENREGISTREE,674.0,447.0,426.62,0.0,,,,ammps
ACIDAC,RANITIDINE,150 MG,COMPRIME,BOITE DE 30,GENPHARMA,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,56.1,35.0,33.38,0.0,,,,ammps
ACIDAC,RANITIDINE,150 MG,COMPRIME,BOITE DE 60,GENPHARMA,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé AO,AMM ENREGISTREE,84.1,52.6,50.07,0.0,,,,ammps
ACIDAC,RANITIDINE,150 MG,COMPRIME ENROBE,1 BOITE 60 COMPRIME,,,GENERIQUE,,,,,,,6118000130338,90.0,70.0,cnops
ACIDAC,RANITIDINE,150 MG,COMPRIME ENROBE,1 BOITE 60 COMPRIME,,,GENERIQUE,,,,,,,6118000130321,60.0,70.0,cnops
ACIDAC,RANITIDINE,300 MG,COMPRIME,BOITE DE 14,GENPHARMA,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,56.1,35.0,33.38,0.0,,,,ammps
ACIDAC,RANITIDINE,300 MG,COMPRIME,BOITE DE 30,GENPHARMA,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,84.1,52.6,50.07,0.0,,,,ammps
ACIDAC,RANITIDINE,300 MG,COMPRIME ENROBE,1 BOITE 30 COMPRIME ENROBE,,,GENERIQUE,,,,,,,6118000130352,90.0,70.0,cnops
ACIDAC,RANITIDINE,300 MG,COMPRIME ENROBE,1 BOITE 30 COMPRIME ENROBE,,,GENERIQUE,,,,,,,6118000130345,60.0,70.0,cnops
ACIDE ALENDRONIQUE GT,ACIDE ALENDRONIQUE,70 MG,COMPRIME PELLICULE,BOITE DE 4,ATLAS PHARM,RHUMATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,164.5,102.8,97.91,0.0,6118001270248,264.0,70.0,ammps+cnops
ACIDE ALENDRONIQUE NORMON,ACIDE ALENDRONIQUE,70 MG,COMPRIME,BOITE DE 4,IBERMA,RHUMATOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,164.5,102.8,97.91,0.0,,,,ammps
ACIDE ALENDRONIQUE NORMON 70 MG,ALENDRONATE,70 MG,COMPRIME,1 BOITE 4 COMPRIME,,,GENERIQUE,,,,,,,6118000230366,176.0,70.0,cnops
ACIDE DEXTROSE D1 EM D1,CONCENTRE POUR HEMODIALYSE,,SOLUTE CONCENTRE,1 BIDON 5 L,,,PRINCEPS,,,,,,,6118000270157,71.7,70.0,cnops
ACIDE DEXTROSE EM 80 D2,CONCENTRE POUR HEMODIALYSE,,SOLUTE CONCENTRE,1 BIDON 5 L,,,GENERIQUE,,,,,,,6118000270102,80.0,70.0,cnops
ACIDE DEXTROSE EM 80 DI,CONCENTRE POUR HEMODIALYSE,,SOLUTE CONCENTRE,1 BIDON 5 L,,,GENERIQUE,,,,,,,6118000270096,49.0,70.0,cnops
ACIDE EM,CONCENTRE POUR HEMODIALYSE,,SOLUTE CONCENTRE,1 BIDON 10 L,,,PRINCEPS,,,,,,,6118000270126,67.3,70.0,cnops
ACIDE EM,CONCENTRE POUR HEMODIALYSE,,SOLUTE CONCENTRE,1 BIDON 10 L,,,PRINCEPS,,,,,,,6118000270140,71.7,70.0,cnops
ACIDE EM,CONCENTRE HEMODIALYSE (CHLORURE DE SODIUM // CHLORURE DE POTASSIUM // CHLORURE DE CALCIUM // CHLORURE DE MAGNESIUM // ACIDE ACETIQUE GLACIAL),-,SOLUTE CONCENTRE POUR HEMODIALYSE,BIDON DE 10 L,ERGO MAROC,UROLOGIE-NEPHROLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,144.0,90.0,85.71,0.0,,,,ammps
ACIDE EM,CONCENTRE HEMODIALYSE (CHLORURE DE SODIUM // CHLORURE DE POTASSIUM // CHLORURE DE CALCIUM // CHLORURE DE MAGNESIUM // ACIDE ACETIQUE GLACIAL°,-,SOLUTE CONCENTRE POUR HEMODIALYSE,BIDON DE 5 L,ERGO MAROC,UROLOGIE-NEPHROLOGIE,GN,Commercialisé,AMM ENREGISTREE,75.0,46.9,44.67,0.0,,,,ammps
ACIDE GLUCOSE SLF264,CONCENTRE POUR HEMODIALYSE,,SOLUTE CONCENTRE,1 BIDON 10 L,,,PRINCEPS,,,,,,,6118000260165,67.3,70.0,cnops
ACIDE SANS ACETATE,CHLORURE DE SODIUM // CHLORURE DE POTASSIUM // CHLORURE DE CALCIUM // CHLORURE DE MAGNESIUM // ACIDE CHLORHYDRIQUE,-,SOLUTION CONCENTREE ACIDE,POCHE DE 5 LITRES,SOLUDIA MAGHREB,UROLOGIE-NEPHROLOGIE,,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
ACIDE SANS ACETATE,CHLORURE DE SODIUM // CHLORURE DE POTASSIUM // CHLORURE DE CALCIUM // CHLORURE DE MAGNESIUM // ACIDE CHLORHYDRIQUE,-,SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE,POCHE DE 5 LITRES,SOLUDIA MAGHREB,UROLOGIE-NEPHROLOGIE,,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
ACIDE SLF121,CONCENTRE POUR HEMODIALYSE,,SOLUTE CONCENTRE,1 BIDON 10 L,,,PRINCEPS,,,,,,,6118000260097,67.3,70.0,cnops
ACIDE SLF180,CONCENTRE POUR HEMODIALYSE,,SOLUTE CONCENTRE,1 BIDON 10 L,,,PRINCEPS,,,,,,,6118000260110,67.3,70.0,cnops
ACIDE SLF208,CONCENTRE POUR HEMODIALYSE,,SOLUTE CONCENTRE,1 BIDON 10 L,,,PRINCEPS,,,,,,,6118000260141,67.3,70.0,cnops
ACIDE SLF241,CONCENTRE POUR HEMODIALYSE,,SOLUTE CONCENTRE,1 BIDON 10 L,,,PRINCEPS,,,,,,,6118000260134,67.3,70.0,cnops
ACIDE SLF275M,CONCENTRE POUR HEMODIALYSE,,SOLUTE CONCENTRE,1 BIDON 10 L,,,PRINCEPS,,,,,,,6118000260127,67.3,70.0,cnops
ACIDE SLF283,CONCENTRE POUR HEMODIALYSE,,SOLUTE CONCENTRE,1 BIDON 10 L,,,PRINCEPS,,,,,,,6118000260103,67.3,70.0,cnops
ACIDE SLF310,CONCENTRE POUR HEMODIALYSE,,SOLUTE CONCENTRE,1 BIDON 10 L,,,PRINCEPS,,,,,,,6118000260158,67.3,70.0,cnops
ACIDE TIAPROFENIQUE,ACIDE TIAPROFENIQUE,100 MG,COMPRIME SECABLE,BOITE DE 10,MAPHAR,,GN,Retiré du Marché,AMM RETIREE,11.6,7.2,6.45,0.0,,,,ammps
ACIDE TIAPROFENIQUE,ACIDE TIAPROFENIQUE,100 MG,COMPRIME SECABLE,BOITE DE 20,MAPHAR,,GN,Retiré du Marché,AMM RETIREE,20.0,12.5,11.13,0.0,,,,ammps
ACIDE TIAPROFENIQUE,ACIDE TIAPROFENIQUE,100 MG,COMPRIME SECABLE,BOITE DE 30,MAPHAR,,GN,Retiré du Marché,AMM RETIREE,26.0,16.2,14.46,0.0,,,,ammps
ACIDE ZOLEDRONIQUE COOPER,ACIDE ZOLEDRONIQUE,4 MG / 5 ML,SOLUTION POUR PERFUSION (IV),BOITE DE 1 FLACON DE 10 ML,COOPER PHARMA,RHUMATOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,1356.0,1088.0,1036.25,0.0,,,,ammps
ACIDE ZOLEDRONIQUE MYLAN,ACIDE ZOLEDRONIQUE,4 MG / 5 ML,SOLUTION A DILUER POUR PERFUSION,BOITE D'UN FLACON DE 5 ML,VIATRIS PHARMACEUTICALS,RHUMATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,1356.0,1088.0,1036.25,0.0,,,,ammps
ACIDE ZOLEDRONIQUE PROMOPHARM,ACIDE ZOLEDRONIQUE,4 MG / 5 ML,SOLUTION A DILUER POUR PERFUSION,BOITE D'UN FLACON DE 5 ML,PROMOPHARM,RHUMATOLOGIE,GN,Commercialisé AO,AMM ENREGISTREE,1356.0,1088.0,1036.25,0.0,,,,ammps
ACIDE ZOLEDRONIQUE SP,ACIDE ZOLEDRONIQUE,4 MG / 5 ML,SOLUTION A DILUER POUR PERFUSION,BOITE DE 1 FLACON DE 5 ML,AMANYS PHARMA,RHUMATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,1255.0,983.0,936.5,0.0,,,,ammps
ACIGAM,ACIDE TIAPROFENIQUE,100 MG,COMPRIME SECABLE,BOITE DE 30,BOTTU,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,GN,Commercialisé,AMM ENREGISTREE,27.0,16.9,16.08,0.0,,,,ammps
ACIGAM,ACIDE TIAPROFENIQUE,200 MG,COMPRIME SECABLE,BOITE DE 20,BOTTU,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,GN,Commercialisé,AMM ENREGISTREE,33.6,21.0,20.03,0.0,,,,ammps
ACITRETINE IFC,ACITRETINE,10 MG,GELULES,BOITE DE 10,IBERMA,DERMATOLOGIE-VENEROLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,37.2,23.2,22.14,0.0,,,,ammps
ACITRETINE IFC,ACITRETINE,10 MG,GELULES,BOITE DE 30,IBERMA,DERMATOLOGIE-VENEROLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,91.1,57.0,54.25,0.0,,,,ammps
ACITRETINE IFC,ACITRETINE,25 MG,GELULES,BOITE DE 10,IBERMA,DERMATOLOGIE-VENEROLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,86.6,54.1,51.53,0.0,,,,ammps
ACITRETINE IFC,ACITRETINE,25 MG,GELULES,BOITE DE 30,IBERMA,DERMATOLOGIE-VENEROLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,210.0,131.5,125.21,0.0,,,,ammps
ACIVIR,ACICLOVIR,0.1 G,CREME,1 TUBE 2 G,,,GENERIQUE,,,,,,,6118000230038,25.0,0.0,cnops
ACIVIR,ACICLOVIR,0.5 G,CREME,1 TUBE 10 G,,,GENERIQUE,,,,,,,6118000230045,40.0,0.0,cnops
ACIVIR,ACICLOVIR,200 MG,COMPRIME,1 BOITE 25 COMPRIME,,,GENERIQUE,,,,,,,6118000230014,171.0,70.0,cnops
ACIVIR,ACICLOVIR,800 MG,COMPRIME,1 BOITE 35 COMPRIME,,,GENERIQUE,,,,,,,6118000230021,707.0,70.0,cnops
ACIVIR COOPER,ACICLOVIR,200 MG,COMPRIME,BOITE DE 25,COOPER PHARMA,INFECTIOLOGIE-PARASITOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,91.1,56.9,54.24,0.0,,,,ammps
