code,laboratoire,nom,dci,dosage,unite_dosage,forme,presentation,ppv,ph,ppv_br,princeps_generique_code,classe_therapeutique,taux_remboursement_cnss,dosage_text,join_key
6118000021070,SOTHEMA,INSULET MIX 30,INSULINE HUMAINE,100,UI,SUSPENSION INJECTABLE INTERMEDIAIRE,1 FLACON 10 ML,85.0,53.1,85.0,C,INSULINES ET ANALOGUES,70,100 UI,INSULETMIX30|100UI|SUSPENSIONINJECTABLEINTERMEDIAIRE
6118001072057,SOTHEMA,INSULET N 100 UI/ML,INSULINE HUMAINE,100,UI,SUSPENSION INJECTABLE INTERMEDIAIRE,1 BOITE 5 CARTOUCHE,260.0,163.0,260.0,C,INSULINES ET ANALOGUES,70,100 UI,INSULETN100UIML|100UI|SUSPENSIONINJECTABLEINTERMEDIAIRE
6118001072040,SOTHEMA,INSULET N 100 UI/ML,INSULINE HUMAINE,100,UI,SUSPENSION INJECTABLE INTERMEDIAIRE,1 BOITE 1 CARTOUCHE,54.1,33.8,54.1,C,INSULINES ET ANALOGUES,70,100 UI,INSULETN100UIML|100UI|SUSPENSIONINJECTABLEINTERMEDIAIRE
6118000021094,SOTHEMA,INSULET NPH,INSULINE HUMAINE,100,UI,SUSPENSION INJECTABLE INTERMEDIAIRE,1 FLACON 10 ML,85.0,53.1,85.0,C,INSULINES ET ANALOGUES,70,100 UI,INSULETNPH|100UI|SUSPENSIONINJECTABLEINTERMEDIAIRE
6118001072033,SOTHEMA,INSULET R 100 UI/ML,INSULINE HUMAINE,100,UI,SOLUTION INJECTABLE,1 BOITE 5 CARTOUCHE,260.0,163.0,260.0,C,INSULINES ET ANALOGUES,70,100 UI,INSULETR100UIML|100UI|SOLUTIONINJECTABLE
6118001072026,SOTHEMA,INSULET R 100 UI/ML,INSULINE HUMAINE,100,UI,SOLUTION INJECTABLE,1 BOITE 1 CARTOUCHE,54.1,33.8,54.1,C,INSULINES ET ANALOGUES,70,100 UI,INSULETR100UIML|100UI|SOLUTIONINJECTABLE
6118000021087,SOTHEMA,INSULET RAPIDE,INSULINE HUMAINE,100,UI,SOLUTION INJECTABLE,1 FLACON 10 ML,85.0,53.1,85.0,C,INSULINES ET ANALOGUES,70,100 UI,INSULETRAPIDE|100UI|SOLUTIONINJECTABLE
6118001120185,LAPROPHAN/NOVONORDISK,INSULINE ACTRAPID HM,INSULINE HUMAINE,100,UI,SOLUTION INJECTABLE,1 FLACON 10 ML,186.0,116.2,130.0,C,INSULINES ET ANALOGUES,70,100 UI,INSULINEACTRAPIDHM|100UI|SOLUTIONINJECTABLE
6118001121236,LAPROPHAN/NOVONORDISK,INSULINE ACTRAPID HM PENFILL,INSULINE HUMAINE,100,UI,SOLUTION INJECTABLE,1 CARTOUCHE 3 ML,73.0,48.3,73.0,C,INSULINES ET ANALOGUES,70,100 UI,INSULINEACTRAPIDHMPENFILL|100UI|SOLUTIONINJECTABLE
6118001120215,LAPROPHAN/NOVONORDISK,INSULINE ACTRAPID HM PENFILL,INSULINE HUMAINE,100,UI,SOLUTION INJECTABLE,5 CARTOUCHE 3 ML,350.0,232.0,350.0,C,INSULINES ET ANALOGUES,70,100 UI,INSULINEACTRAPIDHMPENFILL|100UI|SOLUTIONINJECTABLE
6118001103232,COOPER MAROC,INSULINE GLARGINE COOPER 100 UNITE/ML,INSULINE HUMAINE,100,UI,SOLUTION INJECTABLE LP,1 BOITE 5 STYLO PRE-REMPLI,520.0,345.0,520.0,C,INSULINES ET ANALOGUES,70,100 UI,INSULINEGLARGINECOOPER100UNITEML|100UI|SOLUTIONINJECTABLELP
